time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-04-26T23:20:43.982Z,15.576,119.3247,10,4.6,mb,,102,7.391,0.71,us,us70003cty,2019-04-27T00:13:43.040Z,"61km WSW of Bolitoc, Philippines",earthquake,9.8,1.9,0.053,106,reviewed,us,us
2019-04-26T23:14:09.859Z,15.5718,119.1792,10,4.4,mb,,100,9.905,0.59,us,us70003hjv,2019-05-10T23:15:56.040Z,"76km SW of Ilioilio, Philippines",earthquake,11,1.8,0.066,67,reviewed,us,us
2019-04-23T18:02:59.987Z,14.9108,120.5743,53.44,4.7,mb,,118,7.879,0.75,us,us70003av0,2019-04-24T16:10:44.505Z,"1km ESE of Santa Cruz, Philippines",earthquake,9.1,7.5,0.046,144,reviewed,us,us
2019-04-22T15:38:40.496Z,13.7277,120.9237,142.31,4.3,mb,,145,14.129,0.46,us,us70003flm,2019-05-05T15:26:59.040Z,"1km SW of Talaga, Philippines",earthquake,21.9,11.6,0.169,10,reviewed,us,us
2019-04-22T09:11:11.751Z,14.9566,120.5121,20,6.1,mww,,20,0.943,1.04,us,us70003a63,2019-05-22T13:15:42.040Z,"0km ESE of Gutad, Philippines",earthquake,5.9,1.8,0.035,77,reviewed,us,us
2019-04-04T02:07:18.287Z,14.4008,119.043,10,4.7,mb,,69,1.86,0.59,us,us700034v1,2019-05-13T01:11:38.040Z,"122km WNW of Cabra, Philippines",earthquake,12.7,1.9,0.07,63,reviewed,us,us
2019-03-30T14:02:52.751Z,13.6245,121.1054,124.22,4.6,mb,,110,8.778,1.16,us,us2000k7mi,2019-05-11T15:45:59.040Z,"3km E of Ilijan, Philippines",earthquake,9.5,5.9,0.086,40,reviewed,us,us
2019-03-22T16:09:23.550Z,14.8001,119.7762,10,4.4,mb,,116,14.361,0.88,us,us2000k75a,2019-05-04T20:34:28.040Z,"36km WSW of San Nicolas, Philippines",earthquake,10.3,1.7,0.144,14,reviewed,us,us
2019-03-16T09:58:19.127Z,13.5638,120.87,118.55,5.4,mww,,45,0.539,0.72,us,us1000jh0j,2019-04-22T15:46:16.964Z,"9km NW of Balatero, Philippines",earthquake,8,4,0.038,66,reviewed,us,us
2019-03-14T03:13:36.447Z,14.9058,119.7916,49.06,4.5,mb,,113,1.366,0.81,us,us1000jkb1,2019-04-18T05:05:17.040Z,"31km W of San Nicolas, Philippines",earthquake,7.3,7.4,0.101,29,reviewed,us,us
2019-03-11T20:11:53.085Z,14.067,120.8705,160.58,4.2,mb,,79,0.073,1.15,us,us1000jjcl,2019-04-09T23:36:25.040Z,"3km SSW of Luksuhin, Philippines",earthquake,13.7,4.9,0.103,26,reviewed,us,us
2019-02-23T04:14:44.240Z,14.8823,120.1494,81.62,4.9,mb,,108,1.087,0.94,us,us2000jlwv,2019-05-11T17:40:45.040Z,"5km S of San Agustin, Philippines",earthquake,8.6,7.1,0.064,75,reviewed,us,us
2019-02-07T22:28:00.970Z,15.6441,120.7851,156.49,4.3,mb,,117,7.141,0.75,us,us2000jf1v,2019-04-25T15:31:52.040Z,"1km SSW of Maturanoc, Philippines",earthquake,13,11.6,0.1,28,reviewed,us,us
2019-02-06T10:25:20.540Z,15.858,120.6186,130.2,5.5,mww,,72,1.772,0.9,us,us2000je43,2019-04-25T15:31:45.040Z,"1km NNE of Guiling, Philippines",earthquake,6.7,3.5,0.037,71,reviewed,us,us
2018-12-28T13:36:29.180Z,13.6994,120.9528,145.09,4.3,mb,,113,0.4,0.58,us,us2000j4h4,2019-03-05T17:46:37.040Z,"4km SSE of Talaga, Philippines",earthquake,12.2,7,0.096,31,reviewed,us,us
2018-12-28T11:47:01.990Z,15.3187,120.6703,165.92,4.6,mb,,65,1.236,0.87,us,us2000iylj,2019-03-05T17:46:37.040Z,"1km ESE of Concepcion, Philippines",earthquake,8.7,4,0.05,118,reviewed,us,us
2018-12-18T04:05:52.010Z,13.6703,121.1024,159.47,4.2,mb,,126,8.82,0.31,us,us2000j083,2019-02-23T20:22:49.040Z,"1km WNW of Haligue, Philippines",earthquake,12.2,8.5,0.115,21,reviewed,us,us
2018-12-17T04:16:28.380Z,16.4732,121.04,48.04,4.4,mb,,130,2.359,0.82,us,us2000ivxn,2019-02-23T20:22:03.040Z,"8km W of Busilak, Philippines",earthquake,5.3,8.5,0.148,13,reviewed,us,us
2018-12-16T00:41:19.100Z,13.5706,120.6307,42.72,4.5,mb,,128,0.606,0.59,us,us2000itzd,2019-02-16T22:29:10.040Z,"17km NW of Wawa, Philippines",earthquake,9.1,8.1,0.085,41,reviewed,us,us
2018-12-12T06:57:07.110Z,13.469,119.7513,10,4.7,mb,,95,1.312,0.81,us,us2000iuth,2019-02-16T22:29:05.040Z,"55km SW of Tagbak, Philippines",earthquake,9.9,1.9,0.183,10,reviewed,us,us
2018-12-12T03:37:42.500Z,13.8122,120.7833,135.88,4.7,mb,,107,0.324,0.65,us,us2000isp2,2019-02-16T22:29:05.040Z,"9km ESE of Hukay, Philippines",earthquake,11.9,2.6,0.082,45,reviewed,us,us
2018-12-05T12:35:31.280Z,16.1891,119.4597,53.45,4.2,mb,,95,2.517,1.01,us,us2000issp,2019-02-16T19:52:23.040Z,"34km W of Macabuboni, Philippines",earthquake,8.8,9.3,0.136,15,reviewed,us,us
2018-11-25T20:35:59.930Z,14.7891,119.9544,55,4.6,mb,,125,8.651,1.15,us,us1000hybz,2019-02-02T20:02:32.040Z,"22km SW of San Nicolas, Philippines",earthquake,11,5.5,0.146,14,reviewed,us,us
2018-11-20T01:58:17.930Z,13.6875,121.092,164.65,4.5,mb,,107,12.5,0.5,us,us1000hx3a,2019-02-02T20:02:31.040Z,"1km SSW of Santo Nino, Philippines",earthquake,9.2,8.1,0.121,20,reviewed,us,us
2018-10-20T15:06:35.060Z,14.0372,120.7977,208.95,4.4,mb,,44,8.737,1.1,us,us1000hezx,2018-12-21T22:27:07.040Z,"4km ENE of Bolboc, Philippines",earthquake,8.7,5.1,0.076,50,reviewed,us,us
2018-10-19T22:52:22.980Z,13.3926,120.4307,74.13,4.3,mb,,114,8.382,1.06,us,us1000hght,2018-12-21T22:27:09.040Z,"4km SW of Paluan, Philippines",earthquake,15.2,9.5,0.16,11,reviewed,us,us
2018-10-15T01:56:16.640Z,14.8732,121.8099,41.88,4.5,mb,,143,7.932,0.6,us,us1000heee,2018-12-21T22:27:05.040Z,"6km S of Panukulan, Philippines",earthquake,15.1,7.2,0.083,43,reviewed,us,us
2018-10-09T15:29:25.890Z,15.9955,120.2652,103.44,4.5,mb,,128,6.83,0.76,us,us1000hcsq,2018-12-21T21:15:53.040Z,"0km W of Quintong, Philippines",earthquake,11.9,8.8,0.113,23,reviewed,us,us
2018-10-06T00:38:14.280Z,13.6312,120.406,35,4.5,mb,,110,8.608,0.47,us,us1000hazn,2018-12-14T20:32:46.040Z,"19km ESE of Looc, Philippines",earthquake,13.5,2,0.108,25,reviewed,us,us
2018-08-31T14:40:27.470Z,13.5571,120.8426,116.3,5.5,mww,,34,8.641,0.92,us,us2000h5z6,2018-11-07T18:37:07.040Z,"9km NNE of Odala, Philippines",earthquake,8.1,3.8,0.039,63,reviewed,us,us
